date,state
2020-03-28,TO
2020-03-28,PA
2020-03-28,DF
2020-03-28,AP
2020-03-29,TO
2020-03-29,PA
2020-03-29,DF
2020-03-29,AP
2020-03-30,TO
2020-03-30,PA
2020-03-30,DF
2020-03-30,AP
2020-03-31,TO
2020-03-31,PA
2020-03-31,DF
2020-03-31,AP
2020-04-01,TO
2020-04-01,DF
2020-04-01,AP
2020-04-02,TO
2020-04-02,PA
2020-04-02,DF
2020-04-02,AP
2020-04-03,TO
2020-04-03,PA
2020-04-03,DF
2020-04-03,AP
2020-04-04,TO
2020-04-04,DF
2020-04-04,AP
2020-04-05,TO
2020-04-05,DF
2020-04-05,AP
2020-04-06,TO
2020-04-06,DF
2020-04-06,AP
2020-04-07,TO
2020-04-07,DF
2020-04-07,AP
2020-04-08,TO
2020-04-08,DF
2020-04-08,AP
2020-04-09,TO
2020-04-09,DF
2020-04-09,AP
2020-04-10,TO
2020-04-10,DF
2020-04-10,AP
2020-04-11,TO
2020-04-11,DF
2020-04-11,AP
2020-04-12,DF
2020-04-12,AP
2020-04-13,DF
2020-04-13,AP
2020-04-14,DF
2020-04-15,DF
2020-04-16,TO
2020-04-16,DF
2020-04-17,DF
2020-04-18,DF
2020-04-19,DF
2020-04-20,DF
2020-04-21,DF
2020-04-22,DF
2020-04-23,DF
2020-04-24,DF
2020-04-25,DF
2020-04-26,DF
2020-04-27,DF
2020-04-28,DF
2020-04-29,DF
2020-04-30,DF
2020-05-01,DF
2020-05-02,DF
2020-05-03,DF
2020-05-04,DF
2020-05-05,DF
2020-05-06,DF
2020-05-07,DF
2020-05-08,DF
2020-05-09,DF
2020-05-10,DF
2020-05-11,DF
2020-05-12,DF
2020-05-13,DF
2020-05-14,DF
2020-05-15,DF
2020-05-16,DF
2020-05-17,DF
2020-05-18,DF
2020-05-19,DF
2020-05-20,DF
2020-05-21,DF
2020-05-22,DF
2020-05-23,DF
2020-05-24,DF
2020-05-25,DF
2020-05-26,DF
2020-05-27,DF
2020-05-28,DF
2020-05-29,DF
2020-05-30,DF
2020-05-31,DF
2020-06-01,DF
2020-06-02,DF
2020-06-03,DF
2020-06-04,DF
2020-06-05,DF
2020-06-06,DF
2020-06-07,DF
2020-06-08,DF
2020-06-09,DF
2020-06-10,DF
2020-06-11,DF
2020-06-12,DF
2020-06-13,DF
2020-06-14,DF
2020-06-15,DF
2020-06-16,DF
2020-06-17,DF
2020-06-18,DF
2020-06-19,DF
2020-06-20,DF
2020-06-21,DF
2020-06-22,DF
2020-06-23,DF
2020-06-24,DF
2020-06-25,DF
2020-06-26,DF
2020-06-27,DF
2020-06-28,DF
2020-06-29,DF
2020-06-30,DF
2020-07-01,DF
2020-07-02,DF
2020-07-03,DF
2020-07-04,DF
2020-07-05,DF
2020-07-06,DF
2020-07-07,DF
2020-07-08,DF
2020-07-09,DF
2020-07-10,DF
2020-07-11,DF
2020-07-12,DF
2020-07-13,DF
2020-07-14,DF
2020-07-15,DF
2020-07-16,DF
2020-07-17,DF
2020-07-18,DF
2020-07-19,DF
2020-07-20,DF
2020-07-21,DF
2020-07-22,DF
2020-07-23,DF
2020-07-24,DF
2020-07-25,DF
2020-07-26,DF
2020-07-27,DF
2020-07-28,DF
2020-07-29,DF
2020-07-30,DF
2020-07-31,DF
2020-08-01,DF
2020-08-02,DF
2020-08-03,DF
2020-08-04,DF
2020-08-05,DF
2020-08-06,DF
2020-08-07,DF
2020-08-08,DF
2020-08-09,DF
2020-08-10,DF
2020-08-11,DF
2020-08-12,DF
2020-08-13,DF
2020-08-14,DF
2020-08-15,DF
2020-08-16,DF
2020-08-17,DF
2020-08-18,DF
2020-08-19,DF
2020-08-20,DF
2020-08-21,DF
2020-08-22,DF
2020-08-23,DF
2020-08-24,DF
2020-08-25,DF
2020-08-26,DF
2020-08-27,DF
2020-08-28,DF
2020-08-29,DF
2020-08-30,DF
2020-08-31,DF
2020-09-01,DF
2020-09-02,DF
2020-09-03,DF
2020-09-04,DF
2020-09-05,DF
2020-09-06,DF
2020-09-07,DF
2020-09-08,DF
2020-09-09,DF
2020-09-10,DF
2020-09-11,DF
2020-09-12,DF
2020-09-13,DF
2020-09-14,DF
2020-09-15,DF
2020-09-16,DF
2020-09-17,DF
2020-09-18,DF
2020-09-19,DF
2020-09-20,DF
2020-09-21,DF
2020-09-22,DF
2020-09-23,DF
2020-09-24,DF
2020-09-25,DF
2020-09-26,DF
2020-09-27,DF
2020-09-28,DF
2020-09-29,DF
2020-09-30,DF
2020-10-01,DF
2020-10-02,DF
2020-10-03,DF
2020-10-04,DF
2020-10-05,DF
2020-10-06,DF
2020-10-07,DF
2020-10-08,DF
2020-10-09,DF
2020-10-10,DF
2020-10-11,DF
2020-10-12,DF
2020-10-13,DF
2020-10-14,DF
2020-10-15,DF
2020-10-16,DF
2020-10-17,DF
2020-10-18,DF
2020-10-19,DF
2020-10-20,DF
2020-10-21,DF
2020-10-22,DF
2020-10-23,DF
2020-10-24,DF
2020-10-25,DF
2020-10-26,DF
2020-10-27,DF
2020-10-28,DF
2020-10-29,DF
2020-10-30,DF
2020-10-31,DF
2020-11-01,DF
2020-11-02,DF
2020-11-03,DF
2020-11-04,DF
2020-11-05,DF
2020-11-06,DF
2020-11-07,DF
2020-11-08,DF
2020-11-09,DF
2020-11-10,DF
2020-11-11,DF
2020-11-12,DF
2020-11-13,DF
2020-11-14,DF
2020-11-15,DF
2020-11-16,DF
2020-11-17,DF
2020-11-18,DF
2020-11-19,DF
2020-11-20,DF
2020-11-21,DF
2020-11-22,DF
2020-11-23,DF
2020-11-24,DF
2020-11-25,DF
2020-11-26,DF
2020-11-27,DF
2020-11-28,DF
2020-11-29,DF
2020-11-30,DF
2020-12-01,DF
2020-12-02,DF
2020-12-03,DF
2020-12-04,DF
2020-12-05,DF
2020-12-06,DF
2020-12-07,DF
2020-12-08,DF
2020-12-09,DF
2020-12-10,DF
2020-12-11,DF
2020-12-12,DF
2020-12-13,DF
2020-12-14,DF
2020-12-15,DF
2020-12-16,DF
2020-12-17,DF
2020-12-18,DF
2020-12-19,DF
2020-12-20,DF
2020-12-21,DF
2020-12-22,DF
2020-12-23,DF
2020-12-24,DF
2020-12-25,DF
2020-12-26,DF
2020-12-27,DF
2020-12-28,DF
2020-12-29,DF
2020-12-30,DF
2020-12-31,DF
2021-01-01,DF
2021-01-02,DF
2021-01-03,DF
2021-01-04,DF
2021-01-05,DF
2021-01-06,DF
2021-01-07,DF
2021-01-08,DF
2021-01-09,DF
2021-01-10,DF
2021-01-11,DF
2021-01-12,DF
2021-01-13,DF
2021-01-14,DF
2021-01-15,DF
2021-01-16,DF
2021-01-17,DF
2021-01-18,DF
2021-01-19,DF
2021-01-20,DF
2021-01-21,DF
2021-01-22,DF
2021-01-23,DF
2021-01-24,DF
2021-01-25,DF
2021-01-26,DF
2021-01-27,DF
2021-01-28,DF
2021-01-29,DF
2021-01-30,DF
2021-01-31,DF
2021-02-01,DF
2021-02-02,DF
2021-02-03,DF
2021-02-04,DF
2021-02-05,DF
2021-02-06,DF
2021-02-07,DF
2021-02-08,DF
2021-02-09,DF
2021-02-10,DF
2021-02-11,DF
2021-02-12,DF
2021-02-13,DF
2021-02-14,DF
2021-02-15,DF
2021-02-16,DF
2021-02-17,DF
2021-02-18,DF
2021-02-19,DF
2021-02-20,DF
2021-02-21,DF
2021-02-22,DF
2021-02-23,DF
2021-02-24,DF
2021-02-25,DF
2021-02-26,DF
2021-02-27,DF
2021-02-28,DF
2021-03-01,DF
2021-03-02,DF
2021-03-03,DF
2021-03-04,DF
2021-03-05,DF
2021-03-06,DF
2021-03-07,DF
2021-03-08,DF
2021-03-09,DF
2021-03-10,DF
2021-03-11,DF
2021-03-12,DF
2021-03-13,DF
2021-03-14,DF
2021-03-15,DF
2021-03-16,DF
2021-03-17,DF
2021-03-18,DF
2021-03-19,DF
2021-03-20,DF
2021-03-21,DF
2021-03-22,DF
2021-03-23,DF
2021-03-24,DF
2021-03-25,DF
2021-03-26,DF
2021-03-27,DF
2021-03-28,DF
2021-03-29,DF
2021-03-30,DF
2021-03-31,DF
2021-04-01,DF
2021-04-02,DF
2021-04-03,DF
2021-04-04,DF
2021-04-05,DF
2021-04-06,DF
2021-04-07,DF
2021-04-08,DF
2021-04-09,DF
2021-04-10,DF
2021-04-11,DF
2021-04-12,DF
2021-04-13,DF
2021-04-14,DF
2021-04-15,DF
2021-04-16,DF
2021-04-17,DF
2021-04-18,DF
2021-04-19,DF
2021-04-20,DF
2021-04-21,DF
2021-04-22,DF
2021-04-23,DF
2021-04-24,DF
2021-04-25,DF
2021-04-26,DF
2021-04-27,DF
2021-04-28,DF
2021-04-29,DF
2021-04-30,DF
2021-05-01,DF
2021-05-02,DF
2021-05-03,DF
2021-05-04,DF
2021-05-05,DF
2021-05-06,DF
2021-05-07,DF
2021-05-08,DF
2021-05-09,DF
2021-05-10,DF
2021-05-11,DF
2021-05-12,DF
2021-05-13,DF
2021-05-14,DF
2021-05-15,DF
2021-05-16,DF
2021-05-17,DF
2021-05-18,DF
2021-05-19,DF
2021-05-20,DF
2021-05-21,DF
2021-05-22,DF
2021-05-23,DF
